"Number of agents", "Number of items", "Number of initial matches", "Initial Nash welfare", "Efx Nash welfare", "Computation time", "Number of re-allocations", "delta"
10      ,2       ,1       ,0.0                     ,0.0                     ,0.003031015396118164    ,1   ,0.05
10      ,2       ,10      ,0.0                     ,0.0                     ,0.002092123031616211    ,1   ,0.05
10      ,2       ,10      ,0.0                     ,0.0                     ,0.002100229263305664    ,1   ,0.05
10      ,7       ,4       ,0.0                     ,0.0                     ,0.009195804595947266    ,2   ,0.05
10      ,7       ,4       ,0.0                     ,0.0                     ,0.006081342697143555    ,1   ,0.05
10      ,7       ,2       ,0.0                     ,0.0                     ,0.005649089813232422    ,1   ,0.05
10      ,9       ,6       ,0.0                     ,0.0                     ,0.006527900695800781    ,1   ,0.05
10      ,9       ,2       ,0.0                     ,0.0                     ,0.008540630340576172    ,1   ,0.05
10      ,9       ,3       ,0.0                     ,0.0                     ,0.0177152156829834      ,4   ,0.05
10      ,10      ,6       ,0.0                     ,0.0                     ,0.015350580215454102    ,3   ,0.05
10      ,10      ,3       ,0.0                     ,0.0                     ,0.010767936706542969    ,2   ,0.05
10      ,10      ,7       ,0.0                     ,0.0                     ,0.012737274169921875    ,2   ,0.05
10      ,20      ,8       ,0.0                     ,9.723772833072118       ,0.03846025466918945     ,4   ,0.05
10      ,20      ,4       ,0.0                     ,0.0                     ,0.032210350036621094    ,3   ,0.05
10      ,20      ,6       ,0.0                     ,13.289690061379789      ,0.028609275817871094    ,3   ,0.05
10      ,100     ,4       ,50.62790017971981       ,34.77978281279792       ,0.13136744499206543     ,4   ,0.05
10      ,100     ,4       ,48.38479032350608       ,37.72156991708152       ,0.12674546241760254     ,3   ,0.05
10      ,100     ,4       ,43.0734427609765        ,25.23313107640989       ,0.14833498001098633     ,3   ,0.05
10      ,300     ,3       ,149.47791749881603      ,83.0090108677543        ,0.3724040985107422      ,4   ,0.05
10      ,300     ,3       ,145.1471851460488       ,121.85422776824213      ,0.09342002868652344     ,1   ,0.05
10      ,300     ,4       ,145.8200972787708       ,84.9724444542449        ,0.32056140899658203     ,3   ,0.05
20      ,5       ,20      ,0.0                     ,0.0                     ,0.010135412216186523    ,1   ,0.05
20      ,5       ,20      ,0.0                     ,0.0                     ,0.010293245315551758    ,1   ,0.05
20      ,5       ,20      ,0.0                     ,0.0                     ,0.010444402694702148    ,1   ,0.05
20      ,15      ,3       ,0.0                     ,0.0                     ,0.05272841453552246     ,1   ,0.05
20      ,15      ,6       ,0.0                     ,0.0                     ,0.033014774322509766    ,1   ,0.05
20      ,15      ,4       ,0.0                     ,0.0                     ,0.10540127754211426     ,4   ,0.05
20      ,19      ,9       ,0.0                     ,0.0                     ,0.06743836402893066     ,2   ,0.05
20      ,19      ,3       ,0.0                     ,0.0                     ,0.10109829902648926     ,4   ,0.05
20      ,19      ,3       ,0.0                     ,0.0                     ,0.09511160850524902     ,3   ,0.05
20      ,20      ,7       ,0.0                     ,0.0                     ,0.12505626678466797     ,3   ,0.05
20      ,20      ,5       ,0.0                     ,0.0                     ,0.1331632137298584      ,7   ,0.05
20      ,20      ,10      ,0.0                     ,0.0                     ,0.07894086837768555     ,3   ,0.05
20      ,40      ,5       ,0.0                     ,9.826848871930167       ,0.42786407470703125     ,7   ,0.05
20      ,40      ,3       ,0.0                     ,9.849575666986876       ,0.4857959747314453      ,9   ,0.05
20      ,40      ,5       ,0.0                     ,12.195359308847136      ,0.32835865020751953     ,7   ,0.05
20      ,200     ,8       ,46.63104041940198       ,47.36685316966613       ,1.5203943252563477      ,10  ,0.05
